2023-02-01 12:56:52,632 INFO    MainThread:51271 [wandb_setup.py:_flush():68] Configure stats pid to 51271
2023-02-01 12:56:52,633 INFO    MainThread:51271 [wandb_setup.py:_flush():68] Loading settings from /Users/sfkost/.config/wandb/settings
2023-02-01 12:56:52,633 INFO    MainThread:51271 [wandb_setup.py:_flush():68] Loading settings from /Users/sfkost/Projects/loss_tracker/tracker/wandb/settings
2023-02-01 12:56:52,633 INFO    MainThread:51271 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-02-01 12:56:52,633 INFO    MainThread:51271 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'tracker/test2.py', 'program': '/Users/sfkost/Projects/loss_tracker/tracker/./test2.py'}
2023-02-01 12:56:52,633 INFO    MainThread:51271 [wandb_init.py:_log_setup():478] Logging user logs to /Users/sfkost/Projects/loss_tracker/tracker/wandb/run-20230201_125652-z04ugvfh/logs/debug.log
2023-02-01 12:56:52,633 INFO    MainThread:51271 [wandb_init.py:_log_setup():479] Logging internal logs to /Users/sfkost/Projects/loss_tracker/tracker/wandb/run-20230201_125652-z04ugvfh/logs/debug-internal.log
2023-02-01 12:56:52,633 INFO    MainThread:51271 [wandb_init.py:init():518] calling init triggers
2023-02-01 12:56:52,633 INFO    MainThread:51271 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {}
2023-02-01 12:56:52,633 INFO    MainThread:51271 [wandb_init.py:init():571] starting backend
2023-02-01 12:56:52,633 INFO    MainThread:51271 [wandb_init.py:init():575] setting up manager
2023-02-01 12:56:52,645 INFO    MainThread:51271 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2023-02-01 12:56:52,648 INFO    MainThread:51271 [wandb_init.py:init():582] backend started and connected
2023-02-01 12:56:52,651 INFO    MainThread:51271 [wandb_init.py:init():670] updated telemetry
2023-02-01 12:56:52,673 INFO    MainThread:51271 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2023-02-01 12:56:53,059 INFO    MainThread:51271 [wandb_run.py:_on_init():2121] communicating current version
2023-02-01 12:56:53,130 INFO    MainThread:51271 [wandb_run.py:_on_init():2125] got version response 
2023-02-01 12:56:53,130 INFO    MainThread:51271 [wandb_init.py:init():758] starting run threads in backend
2023-02-01 12:56:57,966 INFO    MainThread:51271 [wandb_run.py:_console_start():2101] atexit reg
2023-02-01 12:56:57,966 INFO    MainThread:51271 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2023-02-01 12:56:57,967 INFO    MainThread:51271 [wandb_run.py:_redirect():2024] Wrapping output streams.
2023-02-01 12:56:57,967 INFO    MainThread:51271 [wandb_run.py:_redirect():2046] Redirects installed.
2023-02-01 12:56:57,967 INFO    MainThread:51271 [wandb_init.py:init():798] run started, returning control to user process
2023-02-01 12:57:14,961 WARNING MsgRouterThr:51271 [router.py:message_loop():77] message_loop has been closed
